UNIQUE_IDENTIFIER,LIST_ID,LISTED_WATER_NAME,DETAILED_CAUSE,PARENT_CAUSE,CYCLE_YEAR,STATE,HUC8_LIST,FEATUREDETAILURL
CAR9051100020080825090830<<=>>2010,CAR9051100020080825090830,SAN DIEGUITO RIVER,NITROGEN,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9051100020080825090830&p_cycle=2010&p_state=CA
CAR9053200020010926112758<<=>>2010,CAR9053200020010926112758,CLOVERDALE CREEK,PHOSPHORUS,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9053200020010926112758&p_cycle=2010&p_state=CA
CAR9061000020011025112826<<=>>2010,CAR9061000020011025112826,LOS PENASQUITOS CREEK,"NITROGEN, TOTAL",NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9061000020011025112826&p_cycle=2010&p_state=CA
CAR9065000019990208103941<<=>>2010,CAR9065000019990208103941,TECOLOTE CREEK,PHOSPHORUS,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9065000019990208103941&p_cycle=2010&p_state=CA
CAR9065000019990208103941<<=>>2010,CAR9065000019990208103941,TECOLOTE CREEK,NITROGEN,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9065000019990208103941&p_cycle=2010&p_state=CA
CAR9071100020011025101606<<=>>2010,CAR9071100020011025101606,SAN DIEGO RIVER (LOWER),DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9071100020011025101606&p_cycle=2010&p_state=CA
CAR9071100020011025101606<<=>>2010,CAR9071100020011025101606,SAN DIEGO RIVER (LOWER),PHOSPHORUS,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9071100020011025101606&p_cycle=2010&p_state=CA
CAR9071100020011025101606<<=>>2010,CAR9071100020011025101606,SAN DIEGO RIVER (LOWER),NITROGEN,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9071100020011025101606&p_cycle=2010&p_state=CA
CAR9072200020081210155551<<=>>2010,CAR9072200020081210155551,SAN VICENTE CREEK (SAN DIEGO COUNTY),AMMONIA NITROGEN,AMMONIA,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9072200020081210155551&p_cycle=2010&p_state=CA
CAR9072200020081210155551<<=>>2010,CAR9072200020081210155551,SAN VICENTE CREEK (SAN DIEGO COUNTY),"NITROGEN, TOTAL",NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9072200020081210155551&p_cycle=2010&p_state=CA
CAR9082200019990208140725<<=>>2010,CAR9082200019990208140725,CHOLLAS CREEK,"NITROGEN, TOTAL",NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9082200019990208140725&p_cycle=2010&p_state=CA
CAR9082200019990208140725<<=>>2010,CAR9082200019990208140725,CHOLLAS CREEK,PHOSPHORUS,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9082200019990208140725&p_cycle=2010&p_state=CA
CAR9091200020091030145725<<=>>2010,CAR9091200020091030145725,"SWEETWATER RIVER, LOWER (BELOW SWEETWATER RESERVOIR)","NITROGEN, TOTAL",NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9091200020091030145725&p_cycle=2010&p_state=CA
CAR9091200020091030145725<<=>>2010,CAR9091200020091030145725,"SWEETWATER RIVER, LOWER (BELOW SWEETWATER RESERVOIR)",PHOSPHORUS,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9091200020091030145725&p_cycle=2010&p_state=CA
CAR9111100019990208133940<<=>>2010,CAR9111100019990208133940,TIJUANA RIVER,"NITROGEN, TOTAL",NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9111100019990208133940&p_cycle=2010&p_state=CA
CAR9111100019990208133940<<=>>2010,CAR9111100019990208133940,TIJUANA RIVER,DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9111100019990208133940&p_cycle=2010&p_state=CA
CAR9111100019990208133940<<=>>2010,CAR9111100019990208133940,TIJUANA RIVER,EUTROPHICATION,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9111100019990208133940&p_cycle=2010&p_state=CA
CAR9111100019990208133940<<=>>2010,CAR9111100019990208133940,TIJUANA RIVER,PHOSPHORUS,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAR9111100019990208133940&p_cycle=2010&p_state=CA
CAS7280000019990205133504<<=>>2010,CAS7280000019990205133504,SALTON SEA,NUTRIENTS,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAS7280000019990205133504&p_cycle=2010&p_state=CA
CAT2072400019980929145809<<=>>2010,CAT2072400019980929145809,SUISUN MARSH WETLANDS,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAT2072400019980929145809&p_cycle=2010&p_state=CA
CAT2072400019980929145809<<=>>2010,CAT2072400019980929145809,SUISUN MARSH WETLANDS,NUTRIENTS,NUTRIENTS,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAT2072400019980929145809&p_cycle=2010&p_state=CA
CAT4051501020000229140756<<=>>2010,CAT4051501020000229140756,LOS CERRITOS CHANNEL,AMMONIA,AMMONIA,2010,CA,,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CAT4051501020000229140756&p_cycle=2010&p_state=CA
COARLA05BL_4200<<=>>2010,COARLA05BL_4200,TRINIDAD RESERVOIR,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,11020010,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COARLA05BL_4200&p_cycle=2010&p_state=CO
COARUA10_3300<<=>>2010,COARUA10_3300,LAKE CREEK MAINSTEM & SOME TRIBUTARIES,DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,11020001,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COARUA10_3300&p_cycle=2010&p_state=CO
COARUA15L_3300<<=>>2010,COARUA15L_3300,DEWEESE RESERVOIR ,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,11020001,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COARUA15L_3300&p_cycle=2010&p_state=CO
COARUA27L_3400<<=>>2010,COARUA27L_3400,BRUSH HOLLOW RESERVOIR,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,11020002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COARUA27L_3400&p_cycle=2010&p_state=CO
COGULG09_7100<<=>>2010,COGULG09_7100,FRUITGROWERS RESERVOIR,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,14020005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COGULG09_7100&p_cycle=2010&p_state=CO
CORGAL11L_5600<<=>>2010,CORGAL11L_5600,LA JARA RESERVOIR,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,13010002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CORGAL11L_5600&p_cycle=2010&p_state=CO
CORGCB06_5600<<=>>2010,CORGCB06_5600,SAN LUIS LAKE,"AMMONIA, UN-IONIZED",AMMONIA,2010,CO,13010003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CORGCB06_5600&p_cycle=2010&p_state=CO
CORGRG30L_553D<<=>>2010,CORGRG30L_553D,SANCHEZ RESERVOIR,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,13010002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CORGRG30L_553D&p_cycle=2010&p_state=CO
COSPBE01C_0500<<=>>2010,COSPBE01C_0500,BEAR CREEK RESERVOIR,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,CO,10190002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPBE01C_0500&p_cycle=2010&p_state=CO
COSPBE01C_0500<<=>>2010,COSPBE01C_0500,BEAR CREEK RESERVOIR,CHLOROPHYLL-A,ALGAL GROWTH,2010,CO,10190002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPBE01C_0500&p_cycle=2010&p_state=CO
COSPBT08_0900<<=>>2010,COSPBT08_0900,TRIBUTARIES TO LITTLE THOMPSON RIVER,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190006,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPBT08_0900&p_cycle=2010&p_state=CO
COSPCL14B_00<<=>>2010,COSPCL14B_00,CLEAR CREEK - DENVER WATER CONDUIT TO YOUNGFIELD ST.,"BOD, SEDIMENT LOAD (SEDIMENT OXYGEN DEMAND)",ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPCL14B_00&p_cycle=2010&p_state=CO
COSPCL15_0700<<=>>2010,COSPCL15_0700,CLEAR CREEK -YOUNGFIELD ST. TO S. PLATTE CONFLUENCE,"BOD, SEDIMENT LOAD (SEDIMENT OXYGEN DEMAND)",ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPCL15_0700&p_cycle=2010&p_state=CO
COSPCL17A_0700<<=>>2010,COSPCL17A_0700,ARVADA RESERVOIR,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPCL17A_0700&p_cycle=2010&p_state=CO
COSPCP20_1000<<=>>2010,COSPCP20_1000,LAKES AND RESERVOIRS TRIB TO NORTH FORK OF CACHE LA POUDRE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190007,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPCP20_1000&p_cycle=2010&p_state=CO
COSPMS04_0600<<=>>2010,COSPMS04_0600,BARR LAKE,"AMMONIA, UN-IONIZED",AMMONIA,2010,CO,10190003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPMS04_0600&p_cycle=2010&p_state=CO
COSPMS04_0601<<=>>2010,COSPMS04_0601,MILTON RESERVOIR,"AMMONIA, UN-IONIZED",AMMONIA,2010,CO,10190003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPMS04_0601&p_cycle=2010&p_state=CO
COSPMS04_0601<<=>>2010,COSPMS04_0601,MILTON RESERVOIR,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPMS04_0601&p_cycle=2010&p_state=CO
COSPMS07_0601<<=>>2010,COSPMS07_0601,HORSE CREEK RESERVOIR,"AMMONIA, UN-IONIZED",AMMONIA,2010,CO,10190003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPMS07_0601&p_cycle=2010&p_state=CO
COSPMS07_0602<<=>>2010,COSPMS07_0602,PROSPECT LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPMS07_0602&p_cycle=2010&p_state=CO
COSPMS07_0602<<=>>2010,COSPMS07_0602,PROSPECT LAKE,"AMMONIA, UN-IONIZED",AMMONIA,2010,CO,10190003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPMS07_0602&p_cycle=2010&p_state=CO
COSPUS05C_0500<<=>>2010,COSPUS05C_0500,"GOOSEBERRY GULCH, SOURCE TO SUNSET TRAIL","AMMONIA, UN-IONIZED",AMMONIA,2010,CO,10190002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS05C_0500&p_cycle=2010&p_state=CO
COSPUS17A_0503<<=>>2010,COSPUS17A_0503,DUCK LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS17A_0503&p_cycle=2010&p_state=CO
COSPUS17A_0600<<=>>2010,COSPUS17A_0600,BERKELEY LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS17A_0600&p_cycle=2010&p_state=CO
COSPUS17B_0500<<=>>2010,COSPUS17B_0500,SLOAN LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS17B_0500&p_cycle=2010&p_state=CO
COSPUS23_0601<<=>>2010,COSPUS23_0601,HUSTON LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS23_0601&p_cycle=2010&p_state=CO
COSPUS23_0602<<=>>2010,COSPUS23_0602,PARKFIELD LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS23_0602&p_cycle=2010&p_state=CO
COSPUS23_0604<<=>>2010,COSPUS23_0604,GARFIELD LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS23_0604&p_cycle=2010&p_state=CO
COSPUS23_0607<<=>>2010,COSPUS23_0607,BARNUM LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS23_0607&p_cycle=2010&p_state=CO
COSPUS23_0610<<=>>2010,COSPUS23_0610,HARVEY LAKE,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10190002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COSPUS23_0610&p_cycle=2010&p_state=CO
COUCNP07B_0100<<=>>2010,COUCNP07B_0100,SPRING CREEK,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,10180001,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COUCNP07B_0100&p_cycle=2010&p_state=CO
COUCUC12_6103<<=>>2010,COUCUC12_6103,SHADOW MOUNTAIN RESERVOIR,DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CO,14010001,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=COUCUC12_6103&p_cycle=2010&p_state=CO
CT-C1_002-SB<<=>>2010,CT-C1_002-SB,"LIS CB INNER - INNER CLINTON HARBOR, CLINTON",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_002-SB&p_cycle=2010&p_state=CT
CT-C1_002-SB<<=>>2010,CT-C1_002-SB,"LIS CB INNER - INNER CLINTON HARBOR, CLINTON",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_002-SB&p_cycle=2010&p_state=CT
CT-C1_002-SB<<=>>2010,CT-C1_002-SB,"LIS CB INNER - INNER CLINTON HARBOR, CLINTON",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_002-SB&p_cycle=2010&p_state=CT
CT-C1_012<<=>>2010,CT-C1_012,"LIS CB INNER - MORRIS CREEK, EAST HAVEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_012&p_cycle=2010&p_state=CT
CT-C1_012<<=>>2010,CT-C1_012,"LIS CB INNER - MORRIS CREEK, EAST HAVEN",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_012&p_cycle=2010&p_state=CT
CT-C1_012<<=>>2010,CT-C1_012,"LIS CB INNER - MORRIS CREEK, EAST HAVEN",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_012&p_cycle=2010&p_state=CT
CT-C1_013-SB<<=>>2010,CT-C1_013-SB,"LIS CB INNER - NEW HAVEN HARBOR, NEW HAVEN",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_013-SB&p_cycle=2010&p_state=CT
CT-C1_013-SB<<=>>2010,CT-C1_013-SB,"LIS CB INNER - NEW HAVEN HARBOR, NEW HAVEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_013-SB&p_cycle=2010&p_state=CT
CT-C1_013-SB<<=>>2010,CT-C1_013-SB,"LIS CB INNER - NEW HAVEN HARBOR, NEW HAVEN",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_013-SB&p_cycle=2010&p_state=CT
CT-C1_014-SB<<=>>2010,CT-C1_014-SB,"LIS CB INNER - QUINNIPIAC RIVER (MOUTH), NEW HAVEN",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_014-SB&p_cycle=2010&p_state=CT
CT-C1_014-SB<<=>>2010,CT-C1_014-SB,"LIS CB INNER - QUINNIPIAC RIVER (MOUTH), NEW HAVEN",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_014-SB&p_cycle=2010&p_state=CT
CT-C1_014-SB<<=>>2010,CT-C1_014-SB,"LIS CB INNER - QUINNIPIAC RIVER (MOUTH), NEW HAVEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_014-SB&p_cycle=2010&p_state=CT
CT-C1_015-SB<<=>>2010,CT-C1_015-SB,"LIS CB INNER - WEST RIVER (LOWER), WEST HAVEN",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_015-SB&p_cycle=2010&p_state=CT
CT-C1_015-SB<<=>>2010,CT-C1_015-SB,"LIS CB INNER - WEST RIVER (LOWER), WEST HAVEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_015-SB&p_cycle=2010&p_state=CT
CT-C1_015-SB<<=>>2010,CT-C1_015-SB,"LIS CB INNER - WEST RIVER (LOWER), WEST HAVEN",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_015-SB&p_cycle=2010&p_state=CT
CT-C1_016<<=>>2010,CT-C1_016,"LIS CB INNER - COVE RIVER, WEST HAVEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_016&p_cycle=2010&p_state=CT
CT-C1_016<<=>>2010,CT-C1_016,"LIS CB INNER - COVE RIVER, WEST HAVEN",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_016&p_cycle=2010&p_state=CT
CT-C1_016<<=>>2010,CT-C1_016,"LIS CB INNER - COVE RIVER, WEST HAVEN",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_016&p_cycle=2010&p_state=CT
CT-C1_017<<=>>2010,CT-C1_017,"LIS CB INNER - OYSTER RIVER, MILFORD",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_017&p_cycle=2010&p_state=CT
CT-C1_017<<=>>2010,CT-C1_017,"LIS CB INNER - OYSTER RIVER, MILFORD",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_017&p_cycle=2010&p_state=CT
CT-C1_017<<=>>2010,CT-C1_017,"LIS CB INNER - OYSTER RIVER, MILFORD",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_017&p_cycle=2010&p_state=CT
CT-C1_021-SB<<=>>2010,CT-C1_021-SB,"LIS CB INNER - HOUSATONIC RIVER (UPPER), ORANGE",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_021-SB&p_cycle=2010&p_state=CT
CT-C1_021-SB<<=>>2010,CT-C1_021-SB,"LIS CB INNER - HOUSATONIC RIVER (UPPER), ORANGE",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_021-SB&p_cycle=2010&p_state=CT
CT-C1_021-SB<<=>>2010,CT-C1_021-SB,"LIS CB INNER - HOUSATONIC RIVER (UPPER), ORANGE",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_021-SB&p_cycle=2010&p_state=CT
CT-C1_022<<=>>2010,CT-C1_022,"LIS CB INNER - WEST RIVER (UPPER), WEST HAVEN",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_022&p_cycle=2010&p_state=CT
CT-C1_022<<=>>2010,CT-C1_022,"LIS CB INNER - WEST RIVER (UPPER), WEST HAVEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_022&p_cycle=2010&p_state=CT
CT-C1_022<<=>>2010,CT-C1_022,"LIS CB INNER - WEST RIVER (UPPER), WEST HAVEN",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_022&p_cycle=2010&p_state=CT
CT-C1_023-SB<<=>>2010,CT-C1_023-SB,"LIS CB INNER - MILL RIVER (MOUTH), NEW HAVEN/HAMDEN",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_023-SB&p_cycle=2010&p_state=CT
CT-C1_023-SB<<=>>2010,CT-C1_023-SB,"LIS CB INNER - MILL RIVER (MOUTH), NEW HAVEN/HAMDEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C1_023-SB&p_cycle=2010&p_state=CT
CT-C2_017-SB<<=>>2010,CT-C2_017-SB,"LIS CB SHORE - MORRIS COVE, NEW HAVEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C2_017-SB&p_cycle=2010&p_state=CT
CT-C2_017-SB<<=>>2010,CT-C2_017-SB,"LIS CB SHORE - MORRIS COVE, NEW HAVEN",DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C2_017-SB&p_cycle=2010&p_state=CT
CT-C2_017-SB<<=>>2010,CT-C2_017-SB,"LIS CB SHORE - MORRIS COVE, NEW HAVEN",NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,NUTRIENTS,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C2_017-SB&p_cycle=2010&p_state=CT
CT-C2_018-SB<<=>>2010,CT-C2_018-SB,"LIS CB SHORE - NEW HAVEN HARBOR (WEST), WEST HAVEN",DISSOLVED OXYGEN SATURATION,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,CT,1100004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=CT-C2_018-SB&p_cycle=2010&p_state=CT
